Date_key,Day,Day_of_week,Month,Year,Week_of_month,Week_of_year,Full_date
1,1,3,1,2013,1,1,2013-01-01
2,2,4,1,2013,1,1,2013-01-02
3,3,5,1,2013,1,1,2013-01-03
4,4,6,1,2013,1,1,2013-01-04
5,5,7,1,2013,1,1,2013-01-05
6,6,1,1,2013,2,2,2013-01-06
7,7,2,1,2013,2,2,2013-01-07
8,8,3,1,2013,2,2,2013-01-08
9,9,4,1,2013,2,2,2013-01-09
10,10,5,1,2013,2,2,2013-01-10
11,11,6,1,2013,2,2,2013-01-11
12,12,7,1,2013,2,2,2013-01-12
13,13,1,1,2013,3,3,2013-01-13
14,14,2,1,2013,3,3,2013-01-14
15,15,3,1,2013,3,3,2013-01-15
16,16,4,1,2013,3,3,2013-01-16
17,17,5,1,2013,3,3,2013-01-17
18,18,6,1,2013,3,3,2013-01-18
19,19,7,1,2013,3,3,2013-01-19
20,20,1,1,2013,4,4,2013-01-20
21,21,2,1,2013,4,4,2013-01-21
22,22,3,1,2013,4,4,2013-01-22
23,23,4,1,2013,4,4,2013-01-23
24,24,5,1,2013,4,4,2013-01-24
25,25,6,1,2013,4,4,2013-01-25
26,26,7,1,2013,4,4,2013-01-26
27,27,1,1,2013,5,5,2013-01-27
28,28,2,1,2013,5,5,2013-01-28
29,29,3,1,2013,5,5,2013-01-29
30,30,4,1,2013,5,5,2013-01-30
31,31,5,1,2013,5,5,2013-01-31
32,1,6,2,2013,1,5,2013-02-01
33,2,7,2,2013,1,5,2013-02-02
34,3,1,2,2013,2,6,2013-02-03
35,4,2,2,2013,2,6,2013-02-04
36,5,3,2,2013,2,6,2013-02-05
37,6,4,2,2013,2,6,2013-02-06
38,7,5,2,2013,2,6,2013-02-07
39,8,6,2,2013,2,6,2013-02-08
40,9,7,2,2013,2,6,2013-02-09
41,10,1,2,2013,3,7,2013-02-10
42,11,2,2,2013,3,7,2013-02-11
43,12,3,2,2013,3,7,2013-02-12
44,13,4,2,2013,3,7,2013-02-13
45,14,5,2,2013,3,7,2013-02-14
46,15,6,2,2013,3,7,2013-02-15
47,16,7,2,2013,3,7,2013-02-16
48,17,1,2,2013,4,8,2013-02-17
49,18,2,2,2013,4,8,2013-02-18
50,19,3,2,2013,4,8,2013-02-19
51,20,4,2,2013,4,8,2013-02-20
52,21,5,2,2013,4,8,2013-02-21
53,22,6,2,2013,4,8,2013-02-22
54,23,7,2,2013,4,8,2013-02-23
55,24,1,2,2013,5,9,2013-02-24
56,25,2,2,2013,5,9,2013-02-25
57,26,3,2,2013,5,9,2013-02-26
58,27,4,2,2013,5,9,2013-02-27
59,28,5,2,2013,5,9,2013-02-28
60,1,6,3,2013,1,9,2013-03-01
61,2,7,3,2013,1,9,2013-03-02
62,3,1,3,2013,2,10,2013-03-03
63,4,2,3,2013,2,10,2013-03-04
64,5,3,3,2013,2,10,2013-03-05
65,6,4,3,2013,2,10,2013-03-06
66,7,5,3,2013,2,10,2013-03-07
67,8,6,3,2013,2,10,2013-03-08
68,9,7,3,2013,2,10,2013-03-09
69,10,1,3,2013,3,11,2013-03-10
70,11,2,3,2013,3,11,2013-03-11
71,12,3,3,2013,3,11,2013-03-12
72,13,4,3,2013,3,11,2013-03-13
73,14,5,3,2013,3,11,2013-03-14
74,15,6,3,2013,3,11,2013-03-15
75,16,7,3,2013,3,11,2013-03-16
76,17,1,3,2013,4,12,2013-03-17
77,18,2,3,2013,4,12,2013-03-18
78,19,3,3,2013,4,12,2013-03-19
79,20,4,3,2013,4,12,2013-03-20
80,21,5,3,2013,4,12,2013-03-21
81,22,6,3,2013,4,12,2013-03-22
82,23,7,3,2013,4,12,2013-03-23
83,24,1,3,2013,5,13,2013-03-24
84,25,2,3,2013,5,13,2013-03-25
85,26,3,3,2013,5,13,2013-03-26
86,27,4,3,2013,5,13,2013-03-27
87,28,5,3,2013,5,13,2013-03-28
88,29,6,3,2013,5,13,2013-03-29
89,30,7,3,2013,5,13,2013-03-30
90,31,1,3,2013,6,14,2013-03-31
91,1,2,4,2013,1,14,2013-04-01
92,2,3,4,2013,1,14,2013-04-02
93,3,4,4,2013,1,14,2013-04-03
94,4,5,4,2013,1,14,2013-04-04
95,5,6,4,2013,1,14,2013-04-05
96,6,7,4,2013,1,14,2013-04-06
97,7,1,4,2013,2,15,2013-04-07
98,8,2,4,2013,2,15,2013-04-08
99,9,3,4,2013,2,15,2013-04-09
100,10,4,4,2013,2,15,2013-04-10
101,11,5,4,2013,2,15,2013-04-11
102,12,6,4,2013,2,15,2013-04-12
103,13,7,4,2013,2,15,2013-04-13
104,14,1,4,2013,3,16,2013-04-14
105,15,2,4,2013,3,16,2013-04-15
106,16,3,4,2013,3,16,2013-04-16
107,17,4,4,2013,3,16,2013-04-17
108,18,5,4,2013,3,16,2013-04-18
109,19,6,4,2013,3,16,2013-04-19
110,20,7,4,2013,3,16,2013-04-20
111,21,1,4,2013,4,17,2013-04-21
112,22,2,4,2013,4,17,2013-04-22
113,23,3,4,2013,4,17,2013-04-23
114,24,4,4,2013,4,17,2013-04-24
115,25,5,4,2013,4,17,2013-04-25
116,26,6,4,2013,4,17,2013-04-26
117,27,7,4,2013,4,17,2013-04-27
118,28,1,4,2013,5,18,2013-04-28
119,29,2,4,2013,5,18,2013-04-29
120,30,3,4,2013,5,18,2013-04-30
121,1,4,5,2013,1,18,2013-05-01
122,2,5,5,2013,1,18,2013-05-02
123,3,6,5,2013,1,18,2013-05-03
124,4,7,5,2013,1,18,2013-05-04
125,5,1,5,2013,2,19,2013-05-05
126,6,2,5,2013,2,19,2013-05-06
127,7,3,5,2013,2,19,2013-05-07
